Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
58,CROMPTON,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
59,CUB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
60,CUMMINSIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
61,DABUR,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
62,DALBHARAT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
63,DEEPAKNTR,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
64,DELTACORP,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
65,DIVISLAB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
66,DIXON,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
67,DLF,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
68,DRREDDY,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
69,EICHERMOT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
70,ESCORTS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
71,EXIDEIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
72,FEDERALBNK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
73,GAIL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
74,GLENMARK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
75,GMRINFRA,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
76,GNFC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
77,GODREJCP,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
