Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
255,ANGELONE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
256,ANUP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
257,ANURAS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
258,APARINDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
259,APCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
260,APCOTEXIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
261,APEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
262,APLAPOLLO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
263,APLLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
264,APOLLO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
265,APOLLOPIPE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
266,APTECHT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
267,APTUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
268,ARIES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
269,ARIHANTCAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
270,ARIHANTSUP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
271,ARMANFIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
272,ARTEMISMED,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
273,ARVIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
274,ARVINDFASN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
275,ARVSMART,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
276,ASAHIINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
277,ASAHISONG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
278,ASAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
279,ASALCBR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
280,ASHAPURMIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
281,ASHIANA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
282,ASHIMASYN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
283,ASHOKA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
284,ASIANENE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
285,ASIANTILES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
286,ASTEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
287,ASTERDM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
288,ASTRAMICRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
289,ASTRAZEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
290,ASTRON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
291,ATALREAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
292,ATGL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
293,ATL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
294,ATULAUTO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
295,AURIONPRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
296,AURUM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
297,AUTOAXLES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
298,AUTOBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
299,AVADHSUGAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
300,AVALON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
301,AVANTIFEED,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
302,AVROIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
303,AVTNPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
304,AWHCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
305,AWL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
306,BAIDFIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
307,BAJAJCON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
308,BAJAJELEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
309,BAJAJHCARE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
310,BAJAJHIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
311,BAJAJHLDNG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
312,BALAJITELE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
313,BALAMINES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
314,BALMLAWRIE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
315,BANARBEADS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
316,BANCOINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
317,BANKBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
318,BANKINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
319,BANSWRAS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
320,BARBEQUE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
321,BASF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
322,BAYERCROP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
323,BBL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
324,BBOX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
325,BBTC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
326,BCG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
327,BCLIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
328,BDL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
329,BECTORFOOD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
330,BEML,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
331,BEPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
332,BFINVEST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
333,BFUTILITIE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
334,BGRENERGY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
335,BHAGCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
336,BHAGERIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
337,BHARATGEAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
338,BHARATWIRE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
339,BIGBLOC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
340,BIKAJI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
341,BIRLACABLE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
342,BIRLACORPN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
343,BIRLAMONEY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
344,BLAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
345,BLISSGVS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
346,BLKASHYAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
347,BLS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
348,BLUEDART,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
349,BLUESTARCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
350,BODALCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
351,BOMDYEING,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
352,BOROLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
353,BORORENEW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
354,BPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
355,BRIGADE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
356,BRNL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
357,BSE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
358,BSLGOLDETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
359,BUTTERFLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
360,BYKE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
361,CAMLINFINE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
362,CAMPUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
363,CAMS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
364,CANTABIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
365,CAPACITE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
366,CAPLIPOINT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
367,CAPTRUST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
368,CARBORUNIV,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
369,CARERATING,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
370,CARTRADE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
371,CARYSIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
372,CASTROLIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
373,CCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
374,CDSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
375,CEATLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
376,CELEBRITY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
377,CENTENKA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
378,CENTRALBK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
379,CENTRUM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
380,CENTURYPLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
381,CENTURYTEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
382,CERA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
383,CESC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
384,CGCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
385,CGPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
386,CHALET,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
387,CHEMBOND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
388,CHEMCON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
389,CHEMFAB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
390,CHEMPLASTS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
391,CHENNPETRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
392,CHOICEIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
393,CHOLAHLDNG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
394,CIEINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
395,CIGNITITEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
396,CLEAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
397,CLEDUCATE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
398,CLSEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
399,CMSINFO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
400,COASTCORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
401,COCHINSHIP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
402,COFFEEDAY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
403,CONCORDBIO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
404,CONFIPET,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
405,CONTROLPR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
406,COSMOFIRST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
407,CPSEETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
408,CRAFTSMAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
409,CREATIVE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
410,CREDITACC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
411,CREST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
412,CRISIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
413,CSBBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
414,CSLFINANCE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
415,CUPID,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
416,CYIENT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
417,CYIENTDLM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
418,DAAWAT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
419,DALMIASUG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
420,DATAMATICS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
421,DATAPATTNS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
422,DBCORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
423,DBL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
424,DBOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
425,DBREALTY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
426,DCAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
427,DCBBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
428,DCMNVL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
429,DCMSHRIRAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
430,DCMSRIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
431,DCW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
432,DCXINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
433,DECCANCE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
434,DEEPAKFERT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
435,DEEPINDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
436,DELHIVERY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
437,DEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
438,DENORA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
439,DEVYANI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
440,DHAMPURSUG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
441,DHANBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
442,DHANUKA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
443,DHARMAJ,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
444,DIAMONDYD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
445,DISHTV,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
446,DIVGIITTS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
447,DLINKINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
448,DMART,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
449,DMCC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
450,DODLA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
451,DOLATALGO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
452,DOLLAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
453,DONEAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
454,DPABHUSHAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
455,DPSCLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
456,DPWIRES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
457,DREAMFOLKS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
458,DREDGECORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
459,DSSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
460,DVL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
461,DWARKESH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
462,DYNAMATECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
463,DYNPRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
464,EASEMYTRIP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
465,EBBETF0425,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
466,EBBETF0430,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
467,ECLERX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
468,EDELWEISS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
469,EIDPARRY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
470,EIHAHOTELS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
471,EIHOTEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
472,EKC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
473,ELECON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
474,ELECTCAST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
475,ELGIEQUIP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
476,ELIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
477,EMAMILTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
478,EMAMIPAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
479,EMAMIREAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
480,EMMBI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
481,EMUDHRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
482,ENDURANCE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
483,ENGINERSIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
484,ENIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
485,EPIGRAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
486,EPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
487,EQUITASBNK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
488,ERIS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
489,EROSMEDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
490,ESABINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
491,ESTER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
492,ETHOSLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
493,EVEREADY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
494,EVERESTIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
495,EXCELINDUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
496,EXPLEOSOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
497,EXXARO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
498,FACT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
499,FAIRCHEMOR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
500,FAZE3Q,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
501,FCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
502,FCSSOFT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
503,FDC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
504,FIEMIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
505,FILATEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
506,FINCABLES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
